Event Name,SaleWeekDay,Relative show day,Sum Tickets sold,TicketSalesRevenue,Show Started
ART SHOW YEAR 2,Tu,1,12,340,
ART SHOW YEAR 2,We,2,9,99,
ART SHOW YEAR 2,Th,3,17,291,
ART SHOW YEAR 2,Fr,4,17,1650,
ART SHOW YEAR 2,Sa,5,12,341,
ART SHOW YEAR 2,Su,6,11,225,
ART SHOW YEAR 2,Mo,7,11,121,
ART SHOW YEAR 2,Tu,8,14,154,
ART SHOW YEAR 2,We,9,9,307,
ART SHOW YEAR 2,Th,10,11,329,
ART SHOW YEAR 2,Fr,11,34,478,
ART SHOW YEAR 2,Sa,12,6,66,
ART SHOW YEAR 2,Su,13,16,385,
ART SHOW YEAR 2,Mo,14,50,1958,
ART SHOW YEAR 2,Tu,15,17,500,
ART SHOW YEAR 2,We,16,24,473,
ART SHOW YEAR 2,Th,17,23,305,
ART SHOW YEAR 2,Fr,18,34,1523,
ART SHOW YEAR 2,Sa,19,27,401,
ART SHOW YEAR 2,Su,20,18,198,
ART SHOW YEAR 2,Mo,21,56,1188,
ART SHOW YEAR 2,Tu,22,40,857,
ART SHOW YEAR 2,We,23,44,848,
ART SHOW YEAR 2,Th,24,36,552,
ART SHOW YEAR 2,Fr,25,27,453,
ART SHOW YEAR 2,Sa,26,41,659,
ART SHOW YEAR 2,Su,27,31,601,
ART SHOW YEAR 2,Mo,28,46,1027,
ART SHOW YEAR 2,Tu,29,65,1861,
ART SHOW YEAR 2,We,30,32,1031,
ART SHOW YEAR 2,Th,31,47,569,
ART SHOW YEAR 2,Fr,32,56,925,
ART SHOW YEAR 2,Sa,33,26,860,
ART SHOW YEAR 2,Su,34,45,814,
ART SHOW YEAR 2,Mo,35,53,999,
ART SHOW YEAR 2,Tu,36,55,716,
ART SHOW YEAR 2,We,37,56,668,
ART SHOW YEAR 2,Th,38,38,1512,
ART SHOW YEAR 2,Fr,39,41,894,
ART SHOW YEAR 2,Sa,40,43,844,
ART SHOW YEAR 2,Su,41,45,1015,
ART SHOW YEAR 2,Mo,42,105,1832,
ART SHOW YEAR 2,Tu,43,129,3096,
ART SHOW YEAR 2,We,44,150,2170,
ART SHOW YEAR 2,Th,45,129,3198,
ART SHOW YEAR 2,Fr,46,113,1718,
ART SHOW YEAR 2,Sa,47,93,1805,
ART SHOW YEAR 2,Su,48,92,1168,
ART SHOW YEAR 2,Mo,49,204,3654,
ART SHOW YEAR 2,Tu,50,246,4056,
ART SHOW YEAR 2,We,51,325,4096,Yes
ART SHOW YEAR 2,Th,52,366,5690,Yes
ART SHOW YEAR 2,Fr,53,703,8097,Yes
ART SHOW YEAR 3,Tu,54,25,361,
ART SHOW YEAR 3,We,55,19,814,
ART SHOW YEAR 3,Th,56,18,217,
ART SHOW YEAR 3,Fr,57,22,320,
ART SHOW YEAR 3,Sa,58,15,181,
ART SHOW YEAR 3,Su,59,18,323,
ART SHOW YEAR 3,Mo,60,29,510,
ART SHOW YEAR 3,Tu,61,36,884,
ART SHOW YEAR 3,We,62,35,977,
ART SHOW YEAR 3,Th,63,39,632,
ART SHOW YEAR 3,Fr,64,25,408,
ART SHOW YEAR 3,Sa,65,14,699,
ART SHOW YEAR 3,Su,66,35,1535,
ART SHOW YEAR 3,Mo,67,20,404,
ART SHOW YEAR 3,Tu,68,16,352,
ART SHOW YEAR 3,We,69,34,1152,
ART SHOW YEAR 3,Th,70,8,205,
ART SHOW YEAR 3,Fr,71,66,926,
ART SHOW YEAR 3,Sa,72,42,852,
ART SHOW YEAR 3,Su,73,25,516,
ART SHOW YEAR 3,Mo,74,49,1226,
ART SHOW YEAR 3,Tu,75,30,363,
ART SHOW YEAR 3,We,76,70,961,
ART SHOW YEAR 3,Th,77,50,712,
ART SHOW YEAR 3,Fr,78,79,1575,
ART SHOW YEAR 3,Sa,79,56,1420,
ART SHOW YEAR 3,Su,80,59,1193,
ART SHOW YEAR 3,Mo,81,63,1241,
ART SHOW YEAR 3,Tu,82,48,1216,
ART SHOW YEAR 3,We,83,85,1189,
ART SHOW YEAR 3,Th,84,51,1362,
ART SHOW YEAR 3,Fr,85,58,764,
ART SHOW YEAR 3,Sa,86,82,2259,
ART SHOW YEAR 3,Su,87,71,1573,
ART SHOW YEAR 3,Mo,88,97,3256,
ART SHOW YEAR 3,Tu,89,68,1535,
ART SHOW YEAR 3,We,90,89,1664,
ART SHOW YEAR 3,Th,91,84,2011,
ART SHOW YEAR 3,Fr,92,104,2313,
ART SHOW YEAR 3,Sa,93,69,1434,
ART SHOW YEAR 3,Su,94,101,2865,
ART SHOW YEAR 3,Mo,95,108,1965,
ART SHOW YEAR 3,Tu,96,112,2576,
ART SHOW YEAR 3,We,97,141,3219,
ART SHOW YEAR 3,Th,98,93,1857,
ART SHOW YEAR 3,Fr,99,129,1872,
ART SHOW YEAR 3,Sa,100,105,1769,
ART SHOW YEAR 3,Su,101,168,3362,
ART SHOW YEAR 3,Mo,102,293,6363,
ART SHOW YEAR 3,Tu,103,277,6736,
ART SHOW YEAR 3,We,104,413,8377,Yes
ART SHOW YEAR 3,Th,105,498,8681,Yes
ART SHOW YEAR 3,Fr,106,710,9520,Yes
